TARGET_B,MONTHS_SINCE_ORIGIN,DONOR_AGE,INCOME_GROUP,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PER_CAPITA_INCOME,RECENT_RESPONSE_COUNT,RECENT_CARD_RESPONSE_COUNT,MONTHS_SINCE_LAST_PROM_RESP,LIFETIME_CARD_PROM,LIFETIME_GIFT_COUNT,CARD_PROM_12,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT
YES,137,87,2,8,1187,400,21608,3,3,25,30,12,6,11,25,130
YES,77,47,6,9,3213,697,21605,6,5,17,25,24,6,14,17,77
NO,89,,4,,1306,397,21604,2,2,17,18,9,6,14,15,88
YES,125,71,1,9,1125,205,21600,3,1,15,29,24,6,17,15,123
NO,29,49,2,,912,358,21596,2,1,18,9,2,4,10,18,29
NO,77,77,2,5,961,522,21590,2,0,18,17,5,4,12,18,69
NO,65,77,,4,2676,257,21586,3,2,16,21,14,6,37,5,64
NO,17,62,2,,994,416,21580,1,0,20,4,1,3,8,20,20
NO,41,66,5,,970,429,21575,7,4,17,13,7,6,13,17,35
NO,137,17,1,,970,429,21575,4,2,17,22,34,5,12,17,112
NO,29,37,5,,971,557,21572,3,3,23,10,3,3,5,23,33
NO,101,,,,2070,311,21566,1,0,18,15,4,4,10,18,90
YES,29,54,4,,905,470,21564,4,3,16,8,4,4,9,16,31
YES,89,73,6,8,2559,581,21559,2,1,17,20,8,6,13,17,88
NO,137,66,5,8,2559,581,21559,5,4,21,33,50,6,12,21,129
YES,29,73,4,,1088,421,21558,2,1,18,9,2,5,11,18,24
NO,17,44,4,,1201,406,21540,3,1,16,7,3,6,13,16,20
NO,41,37,3,,1201,406,21540,2,1,18,12,2,6,13,18,34
YES,41,34,2,,887,337,21539,2,1,17,11,3,4,10,17,41
NO,41,31,3,,851,558,21526,1,1,16,13,4,5,11,16,44
YES,17,40,5,,3018,728,21525,1,1,17,6,1,5,13,17,17
YES,137,40,4,7,1285,474,21521,3,0,19,26,16,6,19,18,126
NO,137,75,5,9,1348,535,21506,1,1,20,30,22,7,18,4,147
NO,101,,5,7,2808,552,21502,2,0,20,25,10,7,31,15,93
YES,137,82,3,7,1226,354,21501,5,4,15,29,18,5,10,15,128
NO,53,,,9,1375,633,21501,8,5,17,20,18,6,13,17,53
NO,41,56,,,1409,341,21494,2,0,20,13,4,6,12,18,41
NO,101,61,1,9,1852,347,21481,1,0,15,23,18,3,10,15,98
NO,65,71,4,6,735,389,21480,5,1,24,20,9,6,12,24,57
YES,65,40,7,8,1385,404,21473,4,2,19,22,10,6,13,19,64
NO,137,48,5,,1385,404,21473,2,0,26,27,14,4,10,26,106
YES,29,48,5,,1715,607,21473,4,2,15,9,5,6,14,15,23
YES,29,46,5,,1245,618,21467,6,3,16,10,7,6,16,16,29
NO,65,,,9,1245,618,21467,3,1,20,24,19,6,31,16,65
NO,137,,5,9,1245,618,21467,4,1,15,30,14,6,13,15,124
YES,89,77,4,7,1426,435,21462,1,1,21,21,7,6,12,21,86
YES,65,33,5,8,1667,541,21458,2,0,19,17,6,6,13,19,57
NO,77,,,9,1053,597,21456,4,4,17,23,21,6,14,5,77
NO,113,41,7,9,1196,606,21456,3,0,15,26,14,4,10,15,113
YES,125,,,,1362,575,21447,3,2,19,19,15,2,7,19,94
YES,125,84,1,7,1332,357,21444,5,4,22,31,26,6,13,22,124
YES,41,54,4,,1040,507,21442,4,2,20,17,6,6,13,20,39
NO,41,32,7,,2134,327,21441,4,2,24,14,11,6,28,7,40
YES,53,4,7,8,2321,631,21434,6,5,16,16,10,6,13,16,53
YES,137,17,2,9,2321,631,21434,1,0,26,25,16,4,9,26,130
NO,29,49,6,,1307,426,21430,3,1,19,11,4,6,12,19,28
YES,53,41,5,9,1028,585,21420,7,5,17,20,13,6,13,17,53
YES,41,,4,4,2394,385,21417,1,1,21,12,3,4,10,21,44
YES,125,70,3,8,492,332,21410,4,3,17,30,16,6,15,17,126
NO,41,25,2,,1271,620,21403,3,2,24,16,5,6,11,24,41
YES,125,59,5,6,2989,289,21395,3,1,18,29,20,7,19,6,121
YES,41,65,5,,1717,443,21385,4,3,21,14,6,6,13,17,40
YES,89,56,5,8,1017,496,21385,3,3,16,26,17,5,12,16,89
YES,41,57,5,5,3238,271,21383,3,0,18,16,5,6,13,18,44
NO,137,,5,,1053,364,21380,4,3,20,34,24,6,21,18,129
NO,29,65,5,,1156,494,21374,5,5,18,12,7,6,12,18,32
YES,65,44,6,,2312,456,21372,2,1,19,20,12,6,13,19,57
YES,89,,5,7,2312,456,21372,9,6,16,26,17,6,13,16,87
YES,137,81,1,7,1219,417,21371,4,3,17,28,18,5,12,17,128
YES,17,,,,1406,431,21369,1,1,16,5,1,4,11,16,16
YES,53,64,7,7,1600,548,21369,5,2,17,20,10,6,13,17,53
YES,65,47,5,7,870,396,21366,7,3,15,21,14,6,14,15,64
YES,29,48,7,,865,459,21364,3,2,25,12,3,6,12,25,32
NO,113,41,6,9,865,459,21364,3,1,24,27,18,7,28,5,113
NO,29,59,6,,924,405,21355,3,1,16,10,3,6,14,16,28
NO,77,51,5,7,729,339,21353,2,0,26,19,7,5,10,26,68
YES,125,47,,4,1179,309,21343,4,2,11,22,19,6,18,11,114
YES,113,73,3,8,2473,585,21343,3,2,22,30,32,6,30,10,104
YES,77,75,5,9,1488,513,21342,2,1,23,22,12,6,12,23,69
NO,137,67,4,9,1110,369,21340,1,0,18,27,16,4,11,18,126
YES,17,39,5,,1462,600,21328,1,1,20,5,1,3,8,20,20
NO,41,71,5,9,1216,415,21325,2,1,18,15,3,6,13,18,44
YES,53,,5,8,2250,235,21321,1,0,26,13,2,5,11,26,53
NO,137,79,4,,1238,648,21317,2,0,19,16,23,2,7,19,128
NO,89,54,7,6,902,552,21312,3,1,15,21,8,5,13,15,86
NO,137,,,5,1452,467,21306,6,6,17,32,34,6,14,17,130
YES,137,51,5,9,1173,503,21302,8,6,22,36,29,6,14,22,126
YES,65,,4,,2022,441,21300,4,2,17,17,9,6,12,17,64
NO,137,63,5,9,1361,665,21294,6,2,13,42,30,9,26,7,122
YES,29,76,5,,862,248,21284,2,0,19,10,3,5,10,19,28
NO,113,80,2,,919,299,21283,2,0,18,27,13,6,13,18,113
YES,65,46,7,9,1823,544,21265,2,0,25,20,6,6,11,25,57
NO,89,76,2,9,1258,514,21262,0,0,,19,15,4,29,9,80
NO,29,79,6,,1258,514,21262,3,2,21,10,4,6,12,18,32
NO,77,26,2,5,897,451,21256,3,3,16,20,7,6,14,16,68
NO,17,32,5,,857,460,21244,1,1,16,6,1,5,11,16,16
NO,125,85,5,5,2842,575,21244,5,4,21,39,39,11,21,21,125
NO,17,,5,,720,364,21234,1,1,20,6,1,4,12,20,20
NO,113,70,4,9,900,483,21234,1,0,19,28,13,6,39,14,113
NO,29,65,4,,900,483,21234,4,0,15,10,5,6,13,15,28
YES,29,,5,,1385,300,21226,3,3,17,12,3,6,12,17,33
YES,53,43,5,9,1408,611,21203,9,7,12,23,14,11,26,12,53
YES,65,55,4,9,868,554,21200,3,3,20,17,8,6,14,19,56
YES,17,44,5,,2125,375,21196,1,1,21,6,1,4,10,21,21
YES,77,69,5,8,2581,555,21182,3,2,22,21,9,6,12,22,76
YES,41,71,5,,1111,506,21181,8,7,17,14,11,5,11,15,41
NO,137,64,5,8,1036,518,21181,3,1,19,29,17,6,13,19,125
YES,77,43,7,8,2362,613,21179,4,3,25,18,14,4,29,16,68
YES,89,33,,8,2362,613,21179,1,0,26,24,8,5,10,26,84
NO,89,48,,8,2362,613,21179,1,0,18,23,10,6,31,15,86
YES,17,73,2,,1102,404,21178,1,1,20,6,1,4,10,20,20
YES,65,35,4,9,827,535,21162,1,0,26,20,5,5,10,26,65
NO,65,73,7,,1407,578,21162,11,7,17,30,18,10,22,17,68
NO,29,43,6,,1407,578,21162,5,4,17,12,6,6,13,17,33
NO,101,76,,4,2796,687,21159,5,3,21,22,26,5,24,21,93
NO,101,64,6,7,866,407,21154,2,2,23,25,11,6,12,23,90
NO,77,54,5,9,1121,532,21147,1,0,26,21,5,5,10,26,75
YES,89,51,4,9,3543,484,21140,2,1,18,17,5,6,14,18,78
YES,17,,,,803,450,21132,1,1,17,5,1,4,11,17,17
YES,53,55,4,9,1097,485,21132,3,1,16,16,5,5,12,16,51
YES,41,35,5,,604,266,21127,2,1,18,14,3,6,14,18,38
YES,89,59,6,9,1458,643,21122,3,2,15,21,12,5,13,15,81
YES,41,67,5,,1189,463,21120,6,4,17,15,9,6,14,17,41
NO,113,50,6,8,981,345,21119,3,2,21,28,15,6,13,18,113
NO,137,65,7,2,2683,537,21116,1,0,18,24,18,4,23,8,130
YES,137,83,7,9,1258,599,21114,3,3,26,35,27,6,29,6,123
NO,89,,1,,1258,599,21114,2,0,18,20,5,6,13,18,78
YES,41,73,5,,848,466,21110,1,1,21,14,4,5,11,21,41
YES,29,46,4,,1571,473,21109,2,1,26,11,2,5,11,26,33
NO,113,17,3,9,701,322,21103,3,0,18,28,14,9,32,5,105
NO,89,75,2,6,913,223,21101,2,0,18,21,7,6,20,18,79
NO,125,74,1,6,913,223,21101,3,2,20,29,11,6,15,20,119
NO,137,47,3,5,812,304,21094,2,0,23,27,8,6,13,23,119
YES,137,47,7,,2531,669,21094,3,2,22,22,11,5,11,22,102
YES,29,63,6,,3196,655,21091,2,0,19,11,2,6,13,19,28
NO,89,69,5,,3196,655,21091,10,7,21,26,27,6,20,21,86
YES,29,65,4,,2443,423,21089,3,3,18,13,4,7,17,7,30
YES,137,76,,8,2159,557,21089,2,0,18,33,17,6,13,18,128
NO,77,57,5,8,924,500,21080,3,2,20,22,18,6,26,20,69
YES,125,59,1,,950,199,21071,4,3,16,27,12,6,16,16,123
YES,137,68,,5,3242,340,21061,4,3,25,32,28,6,12,25,130
YES,77,36,4,9,1145,498,21059,2,1,26,22,9,6,13,18,76
NO,17,,5,,1145,498,21059,1,1,21,5,1,3,9,21,21
NO,41,78,,,1069,565,21057,4,4,21,15,7,6,12,21,41
YES,101,52,,8,1234,363,21054,0,0,,27,17,6,35,5,105
NO,125,51,5,7,1407,509,21052,2,2,24,35,34,7,16,24,125
YES,17,65,4,,3063,337,21051,1,1,17,5,1,4,10,17,17
NO,53,71,2,7,1022,355,21049,3,0,18,19,8,6,15,18,53
NO,41,31,4,,1022,355,21049,6,3,19,15,11,6,13,19,40
NO,89,66,,9,1154,537,21047,2,0,17,22,5,6,13,17,78
YES,137,41,7,9,1060,559,21036,6,5,19,32,30,6,13,19,130
YES,41,35,5,5,709,403,21035,3,2,16,11,5,4,9,16,45
YES,65,,,5,1332,553,21032,6,3,18,15,14,4,7,18,57
NO,41,50,4,,1332,553,21032,5,3,18,16,8,6,13,18,41
NO,137,80,1,5,1125,318,21030,2,1,16,31,22,5,12,16,130
NO,113,81,7,9,1466,555,21030,1,0,18,31,12,6,33,6,106
NO,65,51,6,9,1379,674,21027,2,1,17,16,7,6,26,5,55
YES,137,63,5,8,1002,434,21023,1,0,9,35,37,9,39,4,129
NO,41,,5,,986,452,21014,9,6,17,18,12,6,14,17,44
NO,41,57,5,,1320,359,21007,4,2,16,13,5,5,13,16,41
YES,17,37,6,,3355,615,21001,1,1,21,7,1,5,11,21,21
YES,89,82,7,,993,285,20996,5,4,17,20,17,5,12,17,80
YES,41,,7,,705,337,20987,5,3,19,16,7,6,13,19,41
NO,17,73,4,,938,462,20976,1,1,21,6,1,4,10,21,21
NO,29,42,7,,938,462,20976,2,1,26,10,2,5,11,26,31
YES,125,76,5,7,1275,405,20971,5,2,15,29,15,6,13,15,125
YES,41,43,6,,1172,415,20962,1,1,23,10,2,4,10,23,41
NO,113,79,6,8,880,507,20957,3,1,18,26,11,6,13,18,113
YES,113,50,5,9,1026,514,20949,8,7,16,21,15,6,14,16,105
YES,29,31,2,,988,587,20943,4,4,16,10,4,6,15,16,29
NO,101,69,,9,988,587,20943,2,2,23,28,11,6,26,23,93
NO,29,,4,,1095,584,20942,6,4,19,12,7,6,13,18,33
YES,17,44,5,,987,405,20940,1,1,16,6,1,5,12,16,16
NO,89,47,5,8,1074,425,20934,3,1,19,27,8,6,28,19,89
NO,113,76,,7,2677,558,20932,4,4,17,31,9,7,18,17,105
NO,53,73,5,9,1002,389,20929,6,5,18,19,14,6,14,18,52
YES,101,60,2,6,890,437,20927,13,8,17,42,56,11,35,17,93
NO,77,73,5,8,3518,550,20915,4,1,18,22,12,6,25,18,77
NO,137,,2,8,1055,387,20909,2,2,24,33,17,6,13,24,128
YES,137,80,5,9,1269,512,20906,7,6,22,33,51,5,11,22,131
NO,41,85,4,8,1369,426,20905,2,1,15,12,5,6,12,15,44
NO,29,43,4,,1008,421,20904,3,1,15,8,3,5,12,15,24
NO,125,76,4,2,1010,391,20890,3,2,24,27,16,4,7,24,124
NO,137,76,,6,1125,326,20886,1,0,26,27,16,4,9,26,130
NO,137,,5,1,1127,463,20884,6,1,18,35,26,7,17,4,126
YES,137,79,7,8,1958,529,20879,4,2,18,25,14,4,10,18,114
YES,17,42,5,,782,222,20867,1,1,17,5,2,4,13,15,17
YES,77,52,4,,858,502,20867,2,0,18,12,3,4,10,18,69
NO,29,,7,,1164,556,20858,3,2,15,8,3,5,12,15,23
NO,77,79,5,9,1193,509,20856,2,2,21,24,20,6,12,21,69
NO,53,81,5,,2547,607,20852,2,2,23,12,6,5,12,23,52
YES,77,75,5,,1085,489,20850,9,5,14,25,16,10,24,14,75
YES,113,75,6,8,2660,626,20847,6,4,24,29,37,6,12,24,105
NO,89,43,4,9,1355,630,20845,2,2,24,21,6,3,8,24,80
YES,137,68,4,8,513,400,20842,3,1,24,31,40,5,19,20,125
YES,77,58,2,6,1903,213,20833,3,1,18,23,8,6,13,18,77
YES,65,69,7,6,972,316,20831,5,3,16,20,10,5,15,16,56
YES,17,31,7,,920,160,20828,1,0,16,5,1,4,11,16,16
YES,41,77,4,,586,241,20826,3,3,20,13,4,5,12,20,41
YES,17,47,5,,1124,556,20826,1,1,16,6,1,5,12,16,16
NO,77,68,6,9,1124,556,20826,2,1,22,23,15,6,34,4,75
NO,41,32,3,,1478,551,20823,6,5,20,16,9,6,13,20,41
NO,101,71,6,9,1110,560,20821,3,1,19,24,17,6,13,19,97
NO,101,73,1,8,923,420,20820,11,6,18,26,35,6,12,18,91
NO,29,41,6,,978,338,20819,3,3,21,10,4,6,12,18,29
NO,137,,,6,1333,560,20816,6,3,21,26,26,5,11,21,129
NO,53,26,6,9,1333,560,20816,6,5,16,17,13,5,12,16,53
YES,89,,,6,1180,333,20815,4,2,18,21,10,5,13,18,89
YES,113,54,7,9,1093,580,20815,6,3,17,27,15,6,13,17,113
YES,41,50,5,6,902,374,20810,2,1,22,15,4,6,13,22,44
YES,17,80,6,,1846,550,20809,1,1,17,5,1,4,10,17,17
NO,17,81,1,,950,239,20808,1,1,17,6,1,5,11,17,17
YES,101,44,,9,848,489,20806,2,2,24,27,18,5,10,24,105
NO,137,83,1,8,914,231,20801,3,3,24,27,37,3,5,24,123
YES,125,64,6,7,1287,479,20795,10,5,15,31,26,6,11,15,124
YES,53,48,7,9,977,507,20794,2,0,18,16,4,6,12,18,52
NO,89,78,2,9,977,507,20794,3,3,17,20,6,6,15,17,89
NO,29,,,,977,507,20794,3,0,19,10,4,6,14,19,31
YES,41,65,6,,1436,298,20792,6,3,15,14,7,6,12,15,36
NO,137,7,5,6,818,240,20787,1,0,20,26,8,4,11,20,129
YES,113,74,4,6,835,358,20786,4,3,19,30,16,7,21,10,104
YES,125,39,6,7,2645,644,20782,3,3,16,33,20,7,37,4,119
YES,113,61,4,,2645,644,20782,1,0,26,21,12,4,9,26,113
NO,65,62,4,8,1125,313,20770,3,2,23,20,7,6,12,23,56
NO,41,73,1,,3947,319,20769,2,1,19,14,5,6,30,19,41
NO,41,71,,8,2812,574,20764,4,3,20,17,9,7,32,15,44
NO,41,45,3,8,1566,538,20755,7,4,18,23,11,11,24,18,45
NO,29,61,5,,1083,425,20743,3,2,16,8,3,6,15,16,23
NO,101,55,7,8,1056,406,20741,4,4,15,26,14,7,21,8,93
NO,29,26,6,,1090,470,20740,2,1,21,8,2,4,10,21,31
YES,65,74,4,6,962,349,20739,7,3,19,21,15,6,12,18,57
NO,29,,,,1368,375,20730,2,2,23,12,2,6,14,23,33
YES,53,78,3,4,3009,411,20728,1,1,15,10,2,4,9,15,51
NO,137,77,4,8,1183,420,20724,6,4,17,33,30,6,14,17,116
NO,101,74,7,9,866,611,20722,2,0,19,30,13,8,35,5,93
NO,17,51,4,,1125,638,20715,1,1,17,5,1,4,10,17,17
NO,89,69,2,7,1431,374,20712,3,2,17,20,7,6,14,17,81
NO,137,58,,9,881,422,20703,6,4,16,30,20,6,14,16,126
NO,29,81,2,,930,517,20701,3,1,15,10,3,5,11,15,28
YES,53,43,3,8,785,390,20699,5,2,15,19,10,6,13,15,51
YES,29,74,,,1199,547,20694,2,1,18,8,2,4,10,18,32
NO,89,69,5,7,1199,547,20694,3,3,21,26,9,6,13,21,81
YES,29,,,,2679,445,20693,3,2,19,11,4,6,13,19,29
YES,137,70,6,6,2679,445,20693,4,1,18,31,12,5,12,18,130
YES,29,51,5,,1161,448,20691,7,6,21,13,8,6,12,21,32
YES,125,39,5,,1533,616,20690,1,0,18,27,10,4,11,18,124
NO,29,,5,,866,385,20684,3,1,17,13,3,6,13,17,32
YES,137,64,,8,3431,549,20683,3,2,17,28,17,5,19,7,129
YES,41,71,5,,3431,549,20683,3,2,23,15,5,6,13,18,41
NO,77,52,5,8,853,411,20680,1,0,19,16,4,4,10,19,72
NO,125,81,1,7,1053,425,20680,3,1,21,29,11,7,31,14,119
NO,101,67,5,9,3333,592,20676,2,1,26,26,11,6,13,23,93
NO,101,,2,5,1134,395,20674,6,5,24,27,23,5,14,24,98
NO,17,58,7,,972,422,20669,1,1,17,5,1,4,12,17,17
YES,17,,2,,2680,314,20665,1,0,18,5,1,4,10,18,18
YES,53,,3,1,1461,313,20659,8,5,16,14,11,4,8,16,52
YES,113,71,4,,1461,313,20659,6,5,17,27,19,5,12,17,105
NO,89,55,7,9,820,489,20659,8,5,19,33,26,8,20,18,88
NO,17,,,,892,532,20651,1,1,17,6,1,5,11,17,17
NO,41,67,3,,747,461,20643,4,1,16,12,5,6,12,16,41
YES,101,49,5,9,1357,521,20642,2,1,20,27,15,5,14,20,105
YES,41,54,5,9,1357,521,20642,3,2,17,15,4,6,13,17,44
NO,53,46,6,,889,422,20641,5,3,15,18,9,6,13,15,50
NO,137,74,5,8,889,422,20641,4,3,18,35,17,6,15,18,127
NO,17,76,4,,892,228,20638,1,1,21,7,1,5,11,21,21
NO,89,37,5,8,922,394,20636,3,2,16,24,12,5,12,16,81
YES,137,80,5,,1546,416,20632,5,5,17,27,14,5,12,17,123
YES,17,74,,,1452,352,20619,1,1,21,6,1,4,12,21,21
NO,113,87,,3,1102,418,20604,3,2,25,37,14,8,18,25,110
YES,89,73,4,9,878,607,20596,1,1,32,24,12,6,15,18,86
YES,41,44,5,9,1217,567,20593,3,2,24,16,5,6,12,24,44
YES,137,45,2,7,1757,472,20587,3,1,18,33,18,7,15,18,128
NO,89,56,1,0,1150,160,20580,2,2,28,26,15,6,13,21,79
YES,137,34,,9,1143,310,20576,4,3,18,30,15,6,13,18,126
YES,137,57,7,8,2201,560,20576,6,5,17,29,17,6,12,17,123
YES,101,39,5,8,1186,496,20563,4,3,22,23,10,6,12,22,101
NO,53,65,5,,1186,496,20563,2,1,20,13,5,6,12,18,53
YES,65,49,5,,1102,613,20557,1,0,26,14,3,4,11,26,56
NO,41,31,2,6,834,383,20552,4,1,24,13,6,6,12,18,45
NO,125,43,5,8,2464,616,20552,7,6,21,34,47,5,20,21,123
NO,125,,6,8,2571,532,20550,1,1,16,33,12,6,28,16,124
NO,125,43,7,,884,332,20547,4,2,20,25,13,6,23,20,125
YES,101,78,6,6,2098,417,20544,2,2,19,27,12,6,13,19,90
YES,89,53,6,7,2596,515,20539,6,4,12,31,12,10,26,4,79
YES,125,77,5,7,1869,559,20539,5,2,17,33,30,7,32,13,125
YES,113,,4,,1869,559,20539,4,3,16,21,19,6,33,8,105
YES,41,67,7,,2430,604,20529,3,2,17,14,4,6,12,17,40
NO,53,32,1,,1348,613,20525,7,5,16,33,20,11,22,16,57
NO,137,39,,8,1200,325,20522,2,0,18,27,11,4,12,18,127
NO,29,52,4,,1244,462,20521,2,2,23,11,2,6,14,23,33
YES,41,,,,922,448,20513,3,0,18,16,6,6,14,18,43
NO,41,65,7,,1120,510,20513,5,2,17,14,6,6,12,17,40
YES,89,,,7,854,452,20510,1,0,25,21,6,4,9,25,87
NO,53,83,,2,902,381,20505,1,0,26,19,4,5,19,26,51
YES,17,,7,,1052,482,20492,1,1,17,5,1,4,10,17,17
YES,29,75,4,,1052,482,20492,6,2,18,13,6,6,13,18,32
YES,101,35,5,,976,479,20488,3,2,20,19,9,4,7,20,99
NO,77,33,4,8,1269,413,20486,1,0,27,20,5,6,13,18,66
NO,29,,5,,1249,530,20484,4,2,17,9,5,6,15,15,32
NO,113,51,3,6,1153,344,20471,2,2,24,29,13,6,11,24,113
NO,65,39,5,9,1145,544,20471,3,1,16,19,6,6,13,16,57
NO,113,62,7,,1145,544,20471,2,1,18,23,14,6,13,18,105
NO,113,80,4,8,697,368,20470,0,0,,15,8,3,25,26,105
YES,53,,,9,2577,523,20468,2,1,18,18,5,6,13,18,53
YES,41,51,4,8,1705,512,20460,1,1,20,10,2,4,10,20,44
YES,17,50,7,,2252,595,20460,1,1,20,5,1,3,8,20,20
NO,29,73,4,,996,342,20459,2,2,20,10,2,4,11,20,33
YES,17,43,4,,2698,505,20452,1,1,16,6,1,5,12,16,16
YES,137,65,4,7,2242,436,20447,1,1,20,28,28,4,11,20,127
YES,89,69,5,9,930,519,20445,6,5,12,26,16,9,21,12,79
NO,17,57,5,,1197,514,20444,1,0,20,5,2,4,18,9,20
NO,41,29,5,,969,558,20441,2,2,22,10,2,4,10,22,35
YES,29,,,,1082,436,20438,4,3,15,9,4,5,12,15,29
YES,41,36,4,,904,339,20426,4,2,16,14,5,6,14,16,40
NO,137,84,,8,814,414,20420,3,1,20,32,21,6,13,20,130
NO,137,75,5,7,757,360,20403,3,2,18,38,20,8,17,18,122
NO,137,80,4,3,525,245,20399,3,2,24,33,24,6,13,18,130
YES,101,28,6,8,727,350,20399,1,0,18,24,10,6,13,18,88
YES,41,,,,727,350,20399,4,2,17,7,8,2,4,15,41
YES,65,50,,3,923,489,20399,11,6,17,22,30,7,18,4,56
YES,41,47,7,,1155,612,20398,5,2,15,11,6,4,8,15,41
NO,29,,4,,1155,612,20398,2,2,21,10,2,4,10,21,33
YES,89,35,,2,1403,419,20395,1,0,15,14,5,3,10,15,88
NO,137,55,5,8,1058,410,20394,2,2,21,32,43,5,11,21,125
YES,89,,,8,2993,673,20394,2,0,26,21,12,3,6,26,81
YES,137,55,6,,3326,528,20390,2,1,20,28,14,5,12,20,122
YES,29,,,,2074,495,20386,2,2,15,8,4,4,10,15,29
NO,29,58,5,,1468,497,20380,2,2,22,9,2,4,10,22,29
NO,17,87,4,,848,378,20378,3,1,15,7,3,5,13,15,20
NO,41,65,4,,1100,564,20374,1,0,27,14,3,4,9,27,45
YES,41,83,5,9,1082,369,20355,1,1,21,10,2,4,10,21,45
NO,137,74,4,9,1067,503,20354,4,2,17,33,20,6,13,17,126
NO,137,42,6,9,1556,421,20348,4,4,17,33,18,6,15,17,128
NO,137,47,7,7,735,311,20341,1,0,15,30,19,5,25,15,123
YES,77,54,5,9,1095,520,20341,3,3,20,20,7,6,13,20,77
YES,65,33,5,9,1122,554,20341,2,2,22,21,8,6,13,18,57
YES,125,61,3,,902,468,20328,5,2,15,26,15,5,12,15,125
NO,17,35,5,,992,526,20328,2,2,17,8,2,6,14,17,21
NO,29,,,,992,526,20328,1,0,18,8,2,5,12,18,26
YES,29,33,6,,840,458,20327,2,1,21,10,3,6,13,18,28
YES,89,52,7,6,1865,549,20320,1,0,18,26,12,6,13,18,86
NO,17,38,5,,1003,503,20314,1,1,17,6,1,5,11,17,17
NO,29,,,,1003,503,20314,1,1,24,6,1,3,8,24,24
NO,77,41,7,,1003,503,20314,2,2,16,20,8,6,14,16,77
YES,113,69,1,8,1627,456,20311,3,1,18,28,15,5,12,18,103
NO,17,76,5,,879,447,20310,2,2,17,7,3,5,12,15,21
NO,17,49,7,,953,519,20308,1,1,21,7,1,5,11,21,21
YES,89,7,,8,989,244,20306,2,0,26,24,11,5,10,26,85
YES,17,45,7,,1208,571,20295,1,0,19,6,1,4,10,19,19
NO,137,83,,6,1195,615,20293,4,2,20,30,13,6,13,20,130
NO,17,59,4,,840,459,20292,1,1,17,5,1,4,10,17,17
NO,65,,,6,1699,445,20277,2,1,25,22,14,6,28,8,64
NO,77,41,4,7,1715,449,20276,3,2,16,19,12,5,13,15,67
NO,17,82,5,,841,407,20274,1,0,20,6,1,5,11,20,20
NO,77,52,5,4,923,253,20273,1,0,17,23,7,5,14,17,77
NO,65,67,,8,1580,443,20266,3,1,15,25,10,10,30,5,68
YES,137,68,6,9,748,444,20264,13,9,15,35,63,5,12,15,129
YES,101,57,6,9,1123,547,20264,4,2,17,25,13,6,13,17,92
YES,137,86,,9,934,476,20261,4,1,16,29,10,6,16,16,115
NO,137,37,1,,929,253,20256,7,2,17,28,18,5,12,17,127
NO,17,,,,1290,584,20248,1,1,20,6,1,4,10,20,20
NO,29,53,7,,1290,584,20248,2,2,21,10,2,4,9,21,32
NO,89,37,5,3,921,450,20243,4,3,16,25,13,6,14,16,80
YES,137,42,7,8,835,401,20242,7,7,21,27,24,5,11,21,130
YES,125,,3,7,791,565,20238,4,4,17,29,27,5,13,17,125
YES,89,81,6,8,1109,513,20235,4,2,24,23,12,6,11,24,89
YES,65,17,2,5,723,270,20233,1,1,21,17,5,6,12,21,57
YES,137,87,4,5,723,270,20233,4,3,22,33,19,5,11,22,125
YES,29,,,,1075,511,20216,4,1,17,8,5,5,12,15,31
YES,77,45,2,2,550,387,20210,7,4,13,29,22,9,25,5,87
NO,113,60,7,9,1023,533,20207,3,3,21,20,13,4,6,21,104
YES,17,57,6,,1016,607,20207,1,0,20,5,1,3,8,20,20
NO,89,81,4,,630,272,20204,2,1,18,21,6,6,13,18,92
NO,125,38,,7,1129,404,20198,3,1,26,30,13,5,11,26,123
NO,29,59,3,,1000,274,20194,2,1,16,7,3,5,13,16,23
NO,113,45,6,7,919,342,20191,4,3,21,30,17,6,12,21,113
YES,125,45,7,8,1668,648,20187,7,4,11,37,26,10,24,5,120
YES,77,73,3,7,2297,512,20184,2,0,15,18,6,6,13,15,75
NO,41,68,6,,962,471,20182,2,1,17,9,2,4,10,17,35
YES,29,80,4,,1191,440,20176,3,1,18,10,3,6,12,18,26
YES,77,,,,1528,608,20173,5,4,17,19,12,5,12,15,76
YES,65,,,6,1522,374,20172,6,5,15,20,11,6,12,15,65
YES,101,,5,9,1115,512,20171,5,3,15,24,21,6,13,15,91
NO,41,70,5,8,1130,484,20170,2,1,20,15,4,6,13,20,44
YES,77,46,,8,1079,623,20170,1,1,21,16,13,4,7,21,76
YES,101,36,5,4,951,601,20169,7,1,15,20,18,6,13,15,102
YES,65,77,4,8,985,478,20164,3,1,29,18,8,7,20,4,57
NO,29,,,,839,365,20151,4,2,17,11,4,6,12,17,30
NO,89,,5,8,839,365,20151,4,2,16,19,8,6,14,16,81
YES,41,31,7,9,740,555,20144,5,2,15,17,9,6,14,15,44
NO,17,,,,1172,342,20141,1,0,16,5,1,4,11,16,16
YES,113,62,5,7,906,396,20138,2,1,16,29,12,5,12,16,109
